INFO  | 04/08/2026 05:01:14 PM | File lm_runner.py         | Line 256   |   Seed 45 Ep 7/10: PPL = 242.11
INFO  | 04/08/2026 05:02:57 PM | File lm_runner.py         | Line 256   |   Seed 45 Ep 8/10: PPL = 230.95
INFO  | 04/08/2026 05:04:38 PM | File lm_runner.py         | Line 256   |   Seed 45 Ep 9/10: PPL = 220.89
INFO  | 04/08/2026 05:06:20 PM | File lm_runner.py         | Line 256   |   Seed 45 Ep 10/10: PPL = 212.04
INFO  | 04/08/2026 05:06:20 PM | File lm_runner.py         | Line 187   | [Seed 45] Done. Best PPL: 212.04
INFO  | 04/08/2026 05:06:20 PM | File lm_runner.py         | Line 181   | [Seed 46] (5/5) Training StandardTransformer for 10 epochs...
INFO  | 04/08/2026 05:08:03 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 1/10: PPL = 587.50
INFO  | 04/08/2026 05:09:45 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 2/10: PPL = 448.64
INFO  | 04/08/2026 05:11:27 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 3/10: PPL = 366.87
INFO  | 04/08/2026 05:13:08 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 4/10: PPL = 315.67
INFO  | 04/08/2026 05:14:51 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 5/10: PPL = 283.15
INFO  | 04/08/2026 05:16:32 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 6/10: PPL = 260.38
INFO  | 04/08/2026 05:18:14 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 7/10: PPL = 244.51
INFO  | 04/08/2026 05:19:56 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 8/10: PPL = 233.50
INFO  | 04/08/2026 05:21:39 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 9/10: PPL = 221.22
INFO  | 04/08/2026 05:23:22 PM | File lm_runner.py         | Line 256   |   Seed 46 Ep 10/10: PPL = 213.75
INFO  | 04/08/2026 05:23:22 PM | File lm_runner.py         | Line 187   | [Seed 46] Done. Best PPL: 213.75
INFO  | 04/08/2026 05:23:22 PM | File lm_runner.py         | Line 204   | All seeds done. Best mean PPL: 212.28
INFO  | 04/08/2026 05:23:22 PM | File lm_runner.py         | Line 205   | Results saved to exp/transformer_ptb_gelu_20260408_155613_79ffa20a/lm_results.p
INFO  | 04/08/2026 05:23:22 PM | File run.py               | Line 300   | Experiment completed!
