INFO  | 04/05/2026 02:34:38 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 46/50: Acc = 0.8187
INFO  | 04/05/2026 02:34:50 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 47/50: Acc = 0.8171
INFO  | 04/05/2026 02:35:03 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 48/50: Acc = 0.8178
INFO  | 04/05/2026 02:35:16 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 49/50: Acc = 0.8180
INFO  | 04/05/2026 02:35:29 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 50/50: Acc = 0.8187
INFO  | 04/05/2026 02:35:29 AM | File mixer_runner.py      | Line 144   | [Seed 42] Done. Best Acc: 0.8189
INFO  | 04/05/2026 02:35:29 AM | File mixer_runner.py      | Line 138   | [Seed 43] (2/5) Training SwiGLUViT for 50 epochs...
INFO  | 04/05/2026 02:35:42 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 1/50: Acc = 0.4396
INFO  | 04/05/2026 02:35:55 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 2/50: Acc = 0.5407
INFO  | 04/05/2026 02:36:08 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 3/50: Acc = 0.5807
INFO  | 04/05/2026 02:36:21 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 4/50: Acc = 0.6094
INFO  | 04/05/2026 02:36:34 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 5/50: Acc = 0.6419
INFO  | 04/05/2026 02:36:47 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 6/50: Acc = 0.6427
INFO  | 04/05/2026 02:36:59 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 7/50: Acc = 0.6725
INFO  | 04/05/2026 02:37:12 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 8/50: Acc = 0.6687
INFO  | 04/05/2026 02:37:25 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 9/50: Acc = 0.6977
INFO  | 04/05/2026 02:37:37 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 10/50: Acc = 0.7118
INFO  | 04/05/2026 02:37:50 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 11/50: Acc = 0.7102
INFO  | 04/05/2026 02:38:02 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 12/50: Acc = 0.7173
INFO  | 04/05/2026 02:38:15 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 13/50: Acc = 0.7308
INFO  | 04/05/2026 02:38:27 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 14/50: Acc = 0.7270
INFO  | 04/05/2026 02:38:40 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 15/50: Acc = 0.7403
INFO  | 04/05/2026 02:38:54 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 16/50: Acc = 0.7485
INFO  | 04/05/2026 02:39:07 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 17/50: Acc = 0.7336
INFO  | 04/05/2026 02:39:20 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 18/50: Acc = 0.7455
INFO  | 04/05/2026 02:39:34 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 19/50: Acc = 0.7576
INFO  | 04/05/2026 02:39:47 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 20/50: Acc = 0.7632
INFO  | 04/05/2026 02:40:00 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 21/50: Acc = 0.7642
INFO  | 04/05/2026 02:40:14 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 22/50: Acc = 0.7674
INFO  | 04/05/2026 02:40:27 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 23/50: Acc = 0.7739
INFO  | 04/05/2026 02:40:40 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 24/50: Acc = 0.7806
INFO  | 04/05/2026 02:40:54 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 25/50: Acc = 0.7725
INFO  | 04/05/2026 02:41:07 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 26/50: Acc = 0.7852
INFO  | 04/05/2026 02:41:20 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 27/50: Acc = 0.7855
INFO  | 04/05/2026 02:41:34 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 28/50: Acc = 0.7905
INFO  | 04/05/2026 02:41:47 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 29/50: Acc = 0.7915
INFO  | 04/05/2026 02:42:00 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 30/50: Acc = 0.7906
INFO  | 04/05/2026 02:42:14 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 31/50: Acc = 0.7943
INFO  | 04/05/2026 02:42:27 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 32/50: Acc = 0.8003
INFO  | 04/05/2026 02:42:40 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 33/50: Acc = 0.8010
INFO  | 04/05/2026 02:42:53 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 34/50: Acc = 0.8027
INFO  | 04/05/2026 02:43:06 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 35/50: Acc = 0.8015
INFO  | 04/05/2026 02:43:19 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 36/50: Acc = 0.8072
INFO  | 04/05/2026 02:43:32 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 37/50: Acc = 0.8058
