INFO  | 04/05/2026 12:10:19 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -474.22 (eps: 0.606)
INFO  | 04/05/2026 12:11:07 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -348.08 (eps: 0.471)
INFO  | 04/05/2026 12:11:55 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -339.16 (eps: 0.367)
INFO  | 04/05/2026 12:12:36 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -284.58 (eps: 0.286)
INFO  | 04/05/2026 12:13:06 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -212.60 (eps: 0.222)
INFO  | 04/05/2026 12:13:37 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -230.24 (eps: 0.173)
INFO  | 04/05/2026 12:13:57 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -144.90 (eps: 0.135)
INFO  | 04/05/2026 12:14:29 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -226.76 (eps: 0.105)
INFO  | 04/05/2026 12:15:16 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -330.56 (eps: 0.082)
INFO  | 04/05/2026 12:15:16 PM | File rl_runner.py         | Line 125   | [Seed 44] Done. Final avg(last 50): -330.56
INFO  | 04/05/2026 12:15:16 PM | File rl_runner.py         | Line 121   | [Seed 45] (4/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:15:17 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -500.00 (eps: 0.995)
INFO  | 04/05/2026 12:15:18 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -500.00 (eps: 0.990)
INFO  | 04/05/2026 12:15:20 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -500.00 (eps: 0.985)
INFO  | 04/05/2026 12:15:21 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -500.00 (eps: 0.980)
INFO  | 04/05/2026 12:15:22 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -500.00 (eps: 0.975)
INFO  | 04/05/2026 12:16:20 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -500.00 (eps: 0.778)
INFO  | 04/05/2026 12:17:25 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -492.24 (eps: 0.606)
INFO  | 04/05/2026 12:18:26 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -451.10 (eps: 0.471)
INFO  | 04/05/2026 12:19:03 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -276.32 (eps: 0.367)
INFO  | 04/05/2026 12:19:39 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -263.84 (eps: 0.286)
INFO  | 04/05/2026 12:20:19 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -274.66 (eps: 0.222)
INFO  | 04/05/2026 12:20:44 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -170.52 (eps: 0.173)
INFO  | 04/05/2026 12:21:08 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -160.96 (eps: 0.135)
INFO  | 04/05/2026 12:21:33 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -162.36 (eps: 0.105)
INFO  | 04/05/2026 12:21:50 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -120.64 (eps: 0.082)
INFO  | 04/05/2026 12:21:50 PM | File rl_runner.py         | Line 125   | [Seed 45] Done. Final avg(last 50): -120.64
INFO  | 04/05/2026 12:21:50 PM | File rl_runner.py         | Line 121   | [Seed 46] (5/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:21:52 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -500.00 (eps: 0.995)
