INFO  | 03/03/2026 03:52:53 PM | File rl_runner.py         | Line 218   |   Ep 450/1000: Avg Score = 53.87 (eps: 0.165)
INFO  | 03/03/2026 03:53:39 PM | File rl_runner.py         | Line 218   |   Ep 500/1000: Avg Score = 130.43 (eps: 0.135)
INFO  | 03/03/2026 03:54:22 PM | File rl_runner.py         | Line 218   |   Ep 550/1000: Avg Score = 150.69 (eps: 0.110)
INFO  | 03/03/2026 03:55:05 PM | File rl_runner.py         | Line 218   |   Ep 600/1000: Avg Score = 146.78 (eps: 0.090)
INFO  | 03/03/2026 03:55:36 PM | File rl_runner.py         | Line 218   |   Ep 650/1000: Avg Score = 175.03 (eps: 0.074)
INFO  | 03/03/2026 03:56:06 PM | File rl_runner.py         | Line 218   |   Ep 700/1000: Avg Score = 192.48 (eps: 0.060)
INFO  | 03/03/2026 03:56:27 PM | File rl_runner.py         | Line 218   |   Ep 750/1000: Avg Score = 185.74 (eps: 0.049)
INFO  | 03/03/2026 03:56:50 PM | File rl_runner.py         | Line 218   |   Ep 800/1000: Avg Score = 228.24 (eps: 0.041)
INFO  | 03/03/2026 03:57:12 PM | File rl_runner.py         | Line 218   |   Ep 850/1000: Avg Score = 234.80 (eps: 0.033)
INFO  | 03/03/2026 03:57:35 PM | File rl_runner.py         | Line 218   |   Ep 900/1000: Avg Score = 225.50 (eps: 0.027)
INFO  | 03/03/2026 03:57:55 PM | File rl_runner.py         | Line 218   |   Ep 950/1000: Avg Score = 241.82 (eps: 0.022)
INFO  | 03/03/2026 03:58:15 PM | File rl_runner.py         | Line 218   |   Ep 1000/1000: Avg Score = 225.58 (eps: 0.018)
INFO  | 03/03/2026 03:58:15 PM | File rl_runner.py         | Line 125   | [Seed 43] Done. Final avg(last 50): 225.58
INFO  | 03/03/2026 03:58:15 PM | File rl_runner.py         | Line 121   | [Seed 44] (3/10) Training BaselineDQN for 1000 episodes...
INFO  | 03/03/2026 03:58:15 PM | File rl_runner.py         | Line 218   |   Ep 1/1000: Avg Score = -239.72 (eps: 0.996)
INFO  | 03/03/2026 03:58:15 PM | File rl_runner.py         | Line 218   |   Ep 2/1000: Avg Score = -247.16 (eps: 0.992)
INFO  | 03/03/2026 03:58:15 PM | File rl_runner.py         | Line 218   |   Ep 3/1000: Avg Score = -189.05 (eps: 0.988)
INFO  | 03/03/2026 03:58:16 PM | File rl_runner.py         | Line 218   |   Ep 4/1000: Avg Score = -154.13 (eps: 0.984)
INFO  | 03/03/2026 03:58:16 PM | File rl_runner.py         | Line 218   |   Ep 5/1000: Avg Score = -140.89 (eps: 0.980)
INFO  | 03/03/2026 03:58:21 PM | File rl_runner.py         | Line 218   |   Ep 50/1000: Avg Score = -145.26 (eps: 0.818)
INFO  | 03/03/2026 03:58:29 PM | File rl_runner.py         | Line 218   |   Ep 100/1000: Avg Score = -122.03 (eps: 0.670)
INFO  | 03/03/2026 03:58:39 PM | File rl_runner.py         | Line 218   |   Ep 150/1000: Avg Score = -51.37 (eps: 0.548)
INFO  | 03/03/2026 03:58:52 PM | File rl_runner.py         | Line 218   |   Ep 200/1000: Avg Score = -56.42 (eps: 0.449)
INFO  | 03/03/2026 03:59:33 PM | File rl_runner.py         | Line 218   |   Ep 250/1000: Avg Score = -26.22 (eps: 0.367)
INFO  | 03/03/2026 04:00:29 PM | File rl_runner.py         | Line 218   |   Ep 300/1000: Avg Score = -43.56 (eps: 0.300)
INFO  | 03/03/2026 04:01:24 PM | File rl_runner.py         | Line 218   |   Ep 350/1000: Avg Score = -16.03 (eps: 0.246)
INFO  | 03/03/2026 04:02:21 PM | File rl_runner.py         | Line 218   |   Ep 400/1000: Avg Score = 33.38 (eps: 0.201)
INFO  | 03/03/2026 04:03:23 PM | File rl_runner.py         | Line 218   |   Ep 450/1000: Avg Score = 67.83 (eps: 0.165)
INFO  | 03/03/2026 04:04:19 PM | File rl_runner.py         | Line 218   |   Ep 500/1000: Avg Score = 93.85 (eps: 0.135)
INFO  | 03/03/2026 04:05:04 PM | File rl_runner.py         | Line 218   |   Ep 550/1000: Avg Score = 150.51 (eps: 0.110)
INFO  | 03/03/2026 04:05:47 PM | File rl_runner.py         | Line 218   |   Ep 600/1000: Avg Score = 167.97 (eps: 0.090)
INFO  | 03/03/2026 04:06:22 PM | File rl_runner.py         | Line 218   |   Ep 650/1000: Avg Score = 169.73 (eps: 0.074)
