INFO  | 03/01/2026 09:26:12 PM | File rl_runner.py         | Line 217   |   Ep 100/500: Avg Score = 45.12 (eps: 0.606)
INFO  | 03/01/2026 09:26:17 PM | File rl_runner.py         | Line 217   |   Ep 150/500: Avg Score = 78.36 (eps: 0.471)
INFO  | 03/01/2026 09:26:23 PM | File rl_runner.py         | Line 217   |   Ep 200/500: Avg Score = 88.46 (eps: 0.367)
INFO  | 03/01/2026 09:26:31 PM | File rl_runner.py         | Line 217   |   Ep 250/500: Avg Score = 119.38 (eps: 0.286)
INFO  | 03/01/2026 09:26:40 PM | File rl_runner.py         | Line 217   |   Ep 300/500: Avg Score = 132.44 (eps: 0.222)
INFO  | 03/01/2026 09:26:51 PM | File rl_runner.py         | Line 217   |   Ep 350/500: Avg Score = 164.58 (eps: 0.173)
INFO  | 03/01/2026 09:27:03 PM | File rl_runner.py         | Line 217   |   Ep 400/500: Avg Score = 175.96 (eps: 0.135)
INFO  | 03/01/2026 09:27:21 PM | File rl_runner.py         | Line 217   |   Ep 450/500: Avg Score = 263.56 (eps: 0.105)
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 217   |   Ep 500/500: Avg Score = 279.88 (eps: 0.082)
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 124   | [Seed 44] Done. Final avg(last 50): 279.88
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 120   | [Seed 45] (4/10) Training BaselineDQN for 500 episodes...
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 217   |   Ep 1/500: Avg Score = 15.00 (eps: 0.995)
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 217   |   Ep 2/500: Avg Score = 30.00 (eps: 0.990)
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 217   |   Ep 3/500: Avg Score = 30.00 (eps: 0.985)
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 217   |   Ep 4/500: Avg Score = 29.25 (eps: 0.980)
INFO  | 03/01/2026 09:27:41 PM | File rl_runner.py         | Line 217   |   Ep 5/500: Avg Score = 26.80 (eps: 0.975)
INFO  | 03/01/2026 09:27:42 PM | File rl_runner.py         | Line 217   |   Ep 50/500: Avg Score = 26.50 (eps: 0.778)
INFO  | 03/01/2026 09:27:45 PM | File rl_runner.py         | Line 217   |   Ep 100/500: Avg Score = 51.84 (eps: 0.606)
