INFO  | 04/07/2026 01:50:58 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-500.0
INFO  | 04/07/2026 01:51:56 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-500.0
INFO  | 04/07/2026 01:52:50 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-85.1
INFO  | 04/07/2026 01:53:44 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-83.3
INFO  | 04/07/2026 01:54:38 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-79.7
INFO  | 04/07/2026 01:55:33 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-85.4
INFO  | 04/07/2026 01:56:28 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-89.0
INFO  | 04/07/2026 01:57:22 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-83.7
INFO  | 04/07/2026 01:58:17 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-93.9
INFO  | 04/07/2026 01:59:11 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-92.5
INFO  | 04/07/2026 02:00:05 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-95.3
INFO  | 04/07/2026 02:01:00 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-78.6
INFO  | 04/07/2026 02:01:54 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-79.3
INFO  | 04/07/2026 02:02:48 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-77.7
INFO  | 04/07/2026 02:03:42 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-85.3
INFO  | 04/07/2026 02:04:36 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-80.4
INFO  | 04/07/2026 02:04:36 PM | File ppo_runner.py        | Line 73    | [Seed 44] Done. Final avg(last 20): -209.46
INFO  | 04/07/2026 02:04:36 PM | File ppo_runner.py        | Line 70    | [Seed 45] (4/10)
INFO  | 04/07/2026 02:04:46 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/07/2026 02:05:37 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/07/2026 02:06:34 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-500.0
INFO  | 04/07/2026 02:07:30 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-500.0
INFO  | 04/07/2026 02:08:26 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-500.0
INFO  | 04/07/2026 02:09:22 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-500.0
INFO  | 04/07/2026 02:10:19 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-500.0
INFO  | 04/07/2026 02:11:11 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-79.1
INFO  | 04/07/2026 02:12:04 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-82.7
INFO  | 04/07/2026 02:12:57 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-85.5
INFO  | 04/07/2026 02:13:50 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-87.8
INFO  | 04/07/2026 02:14:43 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-82.7
INFO  | 04/07/2026 02:15:35 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-84.6
INFO  | 04/07/2026 02:16:28 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-81.6
INFO  | 04/07/2026 02:17:21 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-80.7
INFO  | 04/07/2026 02:18:14 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-82.4
INFO  | 04/07/2026 02:19:07 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-82.1
INFO  | 04/07/2026 02:20:00 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-79.6
INFO  | 04/07/2026 02:20:53 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-77.9
INFO  | 04/07/2026 02:21:46 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-77.8
INFO  | 04/07/2026 02:22:38 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-79.3
INFO  | 04/07/2026 02:22:38 PM | File ppo_runner.py        | Line 73    | [Seed 45] Done. Final avg(last 20): -207.19
INFO  | 04/07/2026 02:22:38 PM | File ppo_runner.py        | Line 70    | [Seed 46] (5/10)
INFO  | 04/07/2026 02:22:48 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/07/2026 02:23:39 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/07/2026 02:24:35 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-500.0
INFO  | 04/07/2026 02:25:31 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-500.0
INFO  | 04/07/2026 02:26:27 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-500.0
INFO  | 04/07/2026 02:27:20 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-77.8
INFO  | 04/07/2026 02:28:13 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-83.0
INFO  | 04/07/2026 02:29:06 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-80.4
INFO  | 04/07/2026 02:29:59 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-80.6
INFO  | 04/07/2026 02:30:52 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-80.2
INFO  | 04/07/2026 02:31:44 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-82.6
INFO  | 04/07/2026 02:32:37 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-80.9
INFO  | 04/07/2026 02:33:30 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-80.4
INFO  | 04/07/2026 02:34:23 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-79.8
INFO  | 04/07/2026 02:35:16 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-81.7
INFO  | 04/07/2026 02:36:09 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-82.1
INFO  | 04/07/2026 02:37:02 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-81.6
INFO  | 04/07/2026 02:37:55 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-77.5
INFO  | 04/07/2026 02:38:48 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-78.8
INFO  | 04/07/2026 02:39:41 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-75.3
INFO  | 04/07/2026 02:40:34 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-82.0
INFO  | 04/07/2026 02:40:34 PM | File ppo_runner.py        | Line 73    | [Seed 46] Done. Final avg(last 20): -164.24
INFO  | 04/07/2026 02:40:34 PM | File ppo_runner.py        | Line 70    | [Seed 47] (6/10)
INFO  | 04/07/2026 02:40:43 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/07/2026 02:41:34 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/07/2026 02:42:30 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-500.0
INFO  | 04/07/2026 02:43:27 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-500.0
INFO  | 04/07/2026 02:44:23 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-500.0
INFO  | 04/07/2026 02:45:19 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-500.0
INFO  | 04/07/2026 02:46:15 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-500.0
INFO  | 04/07/2026 02:47:08 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-78.1
INFO  | 04/07/2026 02:48:01 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-86.5
INFO  | 04/07/2026 02:48:54 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-106.5
INFO  | 04/07/2026 02:49:47 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-85.4
INFO  | 04/07/2026 02:50:40 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-83.9
