INFO  | 04/05/2026 12:02:35 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 13/30: Acc = 0.9876
INFO  | 04/05/2026 12:02:47 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 14/30: Acc = 0.9890
INFO  | 04/05/2026 12:02:59 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 15/30: Acc = 0.9879
INFO  | 04/05/2026 12:03:11 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 16/30: Acc = 0.9886
INFO  | 04/05/2026 12:03:23 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 17/30: Acc = 0.9884
INFO  | 04/05/2026 12:03:35 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 18/30: Acc = 0.9884
INFO  | 04/05/2026 12:03:47 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 19/30: Acc = 0.9881
INFO  | 04/05/2026 12:03:59 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 20/30: Acc = 0.9901
INFO  | 04/05/2026 12:04:10 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 21/30: Acc = 0.9881
INFO  | 04/05/2026 12:04:22 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 22/30: Acc = 0.9901
INFO  | 04/05/2026 12:04:33 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 23/30: Acc = 0.9898
INFO  | 04/05/2026 12:04:45 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 24/30: Acc = 0.9898
INFO  | 04/05/2026 12:04:57 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 25/30: Acc = 0.9902
INFO  | 04/05/2026 12:05:09 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 26/30: Acc = 0.9899
INFO  | 04/05/2026 12:05:21 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 27/30: Acc = 0.9903
INFO  | 04/05/2026 12:05:33 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 28/30: Acc = 0.9904
INFO  | 04/05/2026 12:05:44 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 29/30: Acc = 0.9903
INFO  | 04/05/2026 12:05:56 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 30/30: Acc = 0.9903
INFO  | 04/05/2026 12:05:56 PM | File mixer_runner.py      | Line 169   | [Seed 43] Done. Best Acc: 0.9904
INFO  | 04/05/2026 12:05:56 PM | File mixer_runner.py      | Line 163   | [Seed 44] (3/5) Training StandardMLPMixer for 30 epochs...
INFO  | 04/05/2026 12:06:08 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 1/30: Acc = 0.9608
INFO  | 04/05/2026 12:06:20 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 2/30: Acc = 0.9725
INFO  | 04/05/2026 12:06:32 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 3/30: Acc = 0.9804
INFO  | 04/05/2026 12:06:44 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 4/30: Acc = 0.9793
INFO  | 04/05/2026 12:06:55 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 5/30: Acc = 0.9821
INFO  | 04/05/2026 12:07:07 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 6/30: Acc = 0.9803
INFO  | 04/05/2026 12:07:19 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 7/30: Acc = 0.9860
INFO  | 04/05/2026 12:07:31 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 8/30: Acc = 0.9856
INFO  | 04/05/2026 12:07:42 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 9/30: Acc = 0.9874
INFO  | 04/05/2026 12:07:54 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 10/30: Acc = 0.9842
INFO  | 04/05/2026 12:08:06 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 11/30: Acc = 0.9846
INFO  | 04/05/2026 12:08:17 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 12/30: Acc = 0.9869
INFO  | 04/05/2026 12:08:29 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 13/30: Acc = 0.9870
INFO  | 04/05/2026 12:08:40 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 14/30: Acc = 0.9872
INFO  | 04/05/2026 12:08:52 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 15/30: Acc = 0.9849
INFO  | 04/05/2026 12:09:04 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 16/30: Acc = 0.9867
INFO  | 04/05/2026 12:09:15 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 17/30: Acc = 0.9883
INFO  | 04/05/2026 12:09:27 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 18/30: Acc = 0.9869
INFO  | 04/05/2026 12:09:39 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 19/30: Acc = 0.9892
INFO  | 04/05/2026 12:09:50 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 20/30: Acc = 0.9887
INFO  | 04/05/2026 12:10:02 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 21/30: Acc = 0.9901
INFO  | 04/05/2026 12:10:14 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 22/30: Acc = 0.9891
INFO  | 04/05/2026 12:10:25 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 23/30: Acc = 0.9892
INFO  | 04/05/2026 12:10:37 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 24/30: Acc = 0.9886
INFO  | 04/05/2026 12:10:48 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 25/30: Acc = 0.9889
INFO  | 04/05/2026 12:11:00 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 26/30: Acc = 0.9896
INFO  | 04/05/2026 12:11:12 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 27/30: Acc = 0.9895
INFO  | 04/05/2026 12:11:24 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 28/30: Acc = 0.9898
INFO  | 04/05/2026 12:11:35 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 29/30: Acc = 0.9898
