INFO  | 04/07/2026 01:44:41 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-81.4
INFO  | 04/07/2026 01:45:36 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-83.7
INFO  | 04/07/2026 01:46:32 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-88.2
INFO  | 04/07/2026 01:47:26 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-80.5
INFO  | 04/07/2026 01:48:21 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-82.4
INFO  | 04/07/2026 01:49:16 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-76.4
INFO  | 04/07/2026 01:50:11 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-79.1
INFO  | 04/07/2026 01:51:06 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-79.3
INFO  | 04/07/2026 01:52:01 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-79.3
INFO  | 04/07/2026 01:52:56 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-88.5
INFO  | 04/07/2026 01:53:50 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-83.2
INFO  | 04/07/2026 01:54:45 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-82.5
INFO  | 04/07/2026 01:55:39 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-76.7
INFO  | 04/07/2026 01:56:33 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-77.6
INFO  | 04/07/2026 01:57:27 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-75.6
INFO  | 04/07/2026 01:58:22 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-76.1
INFO  | 04/07/2026 01:58:22 PM | File ppo_runner.py        | Line 73    | [Seed 44] Done. Final avg(last 20): -100.91
INFO  | 04/07/2026 01:58:22 PM | File ppo_runner.py        | Line 70    | [Seed 45] (4/10)
INFO  | 04/07/2026 01:58:31 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/07/2026 01:59:20 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-76.3
INFO  | 04/07/2026 02:00:15 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-85.6
INFO  | 04/07/2026 02:01:10 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-85.1
INFO  | 04/07/2026 02:02:05 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-83.1
INFO  | 04/07/2026 02:03:01 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-81.2
INFO  | 04/07/2026 02:03:56 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-75.8
INFO  | 04/07/2026 02:04:52 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-79.8
INFO  | 04/07/2026 02:05:46 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-80.8
INFO  | 04/07/2026 02:06:42 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-79.2
INFO  | 04/07/2026 02:07:37 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-71.6
INFO  | 04/07/2026 02:08:33 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-79.8
INFO  | 04/07/2026 02:09:28 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-69.6
INFO  | 04/07/2026 02:10:23 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-69.8
INFO  | 04/07/2026 02:11:18 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-68.9
INFO  | 04/07/2026 02:12:14 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-65.7
INFO  | 04/07/2026 02:13:09 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-76.9
INFO  | 04/07/2026 02:14:05 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-74.8
INFO  | 04/07/2026 02:15:01 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-69.9
INFO  | 04/07/2026 02:15:57 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-72.0
INFO  | 04/07/2026 02:16:53 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-69.2
INFO  | 04/07/2026 02:16:53 PM | File ppo_runner.py        | Line 73    | [Seed 45] Done. Final avg(last 20): -75.75
INFO  | 04/07/2026 02:16:53 PM | File ppo_runner.py        | Line 70    | [Seed 46] (5/10)
INFO  | 04/07/2026 02:17:03 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/07/2026 02:17:53 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-178.0
INFO  | 04/07/2026 02:18:49 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-86.0
INFO  | 04/07/2026 02:19:46 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-83.8
INFO  | 04/07/2026 02:20:42 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-88.3
INFO  | 04/07/2026 02:21:37 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-124.8
INFO  | 04/07/2026 02:22:31 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-81.2
INFO  | 04/07/2026 02:23:24 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-83.1
INFO  | 04/07/2026 02:24:17 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-81.2
INFO  | 04/07/2026 02:25:11 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-81.3
INFO  | 04/07/2026 02:26:04 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-82.8
INFO  | 04/07/2026 02:26:58 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-82.2
INFO  | 04/07/2026 02:27:51 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-78.5
INFO  | 04/07/2026 02:28:44 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-79.2
INFO  | 04/07/2026 02:29:38 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-78.9
INFO  | 04/07/2026 02:30:31 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-89.9
INFO  | 04/07/2026 02:31:25 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-79.6
INFO  | 04/07/2026 02:32:18 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-78.9
INFO  | 04/07/2026 02:33:12 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-102.8
INFO  | 04/07/2026 02:34:05 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-79.4
INFO  | 04/07/2026 02:34:58 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-80.6
INFO  | 04/07/2026 02:34:58 PM | File ppo_runner.py        | Line 73    | [Seed 46] Done. Final avg(last 20): -90.03
INFO  | 04/07/2026 02:34:58 PM | File ppo_runner.py        | Line 70    | [Seed 47] (6/10)
INFO  | 04/07/2026 02:35:08 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/07/2026 02:35:59 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/07/2026 02:36:55 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-413.0
