INFO  | 04/05/2026 06:24:22 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = 49.72 (eps: 0.606)
INFO  | 04/05/2026 06:24:29 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = 34.20 (eps: 0.471)
INFO  | 04/05/2026 06:24:44 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = 62.92 (eps: 0.367)
INFO  | 04/05/2026 06:25:07 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = 94.94 (eps: 0.286)
INFO  | 04/05/2026 06:25:29 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = 95.26 (eps: 0.222)
INFO  | 04/05/2026 06:25:47 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = 73.80 (eps: 0.173)
INFO  | 04/05/2026 06:26:00 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = 55.78 (eps: 0.135)
INFO  | 04/05/2026 06:26:19 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = 76.18 (eps: 0.105)
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = 75.86 (eps: 0.082)
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 127   | [Seed 44] Done. Final avg(last 50): 75.86
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 123   | [Seed 45] (4/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = 28.00 (eps: 0.995)
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = 20.50 (eps: 0.990)
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = 20.67 (eps: 0.985)
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = 20.25 (eps: 0.980)
INFO  | 04/05/2026 06:26:37 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = 20.60 (eps: 0.975)
INFO  | 04/05/2026 06:26:42 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = 24.66 (eps: 0.778)
INFO  | 04/05/2026 06:26:51 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = 38.76 (eps: 0.606)
INFO  | 04/05/2026 06:27:06 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = 64.64 (eps: 0.471)
INFO  | 04/05/2026 06:27:20 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = 59.58 (eps: 0.367)
INFO  | 04/05/2026 06:27:41 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = 90.18 (eps: 0.286)
INFO  | 04/05/2026 06:27:56 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = 61.08 (eps: 0.222)
INFO  | 04/05/2026 06:28:27 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = 133.02 (eps: 0.173)
