INFO  | 04/05/2026 12:02:32 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 12:02:59 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 12:03:25 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 12:03:52 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 12:04:20 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 12:04:46 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -200.00 (eps: 0.173)
INFO  | 04/05/2026 12:05:13 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -200.00 (eps: 0.135)
INFO  | 04/05/2026 12:05:40 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -195.88 (eps: 0.105)
INFO  | 04/05/2026 12:06:08 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -198.16 (eps: 0.082)
INFO  | 04/05/2026 12:06:08 PM | File rl_runner.py         | Line 125   | [Seed 44] Done. Final avg(last 50): -198.16
INFO  | 04/05/2026 12:06:08 PM | File rl_runner.py         | Line 121   | [Seed 45] (4/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:06:08 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 12:06:08 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 12:06:09 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 12:06:09 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 12:06:10 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 12:06:32 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 12:06:57 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 12:07:22 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 12:07:49 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 12:08:16 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 12:08:43 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -198.82 (eps: 0.222)
