INFO  | 04/05/2026 07:42:35 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -96.79 (eps: 0.606)
INFO  | 04/05/2026 07:43:03 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -59.26 (eps: 0.471)
INFO  | 04/05/2026 07:43:59 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -57.99 (eps: 0.367)
INFO  | 04/05/2026 07:45:23 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -121.47 (eps: 0.286)
INFO  | 04/05/2026 07:45:57 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -146.81 (eps: 0.222)
INFO  | 04/05/2026 07:46:39 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -107.45 (eps: 0.173)
INFO  | 04/05/2026 07:47:03 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -96.86 (eps: 0.135)
INFO  | 04/05/2026 07:48:05 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -108.34 (eps: 0.105)
INFO  | 04/05/2026 07:48:55 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -182.42 (eps: 0.082)
INFO  | 04/05/2026 07:48:55 PM | File rl_runner.py         | Line 127   | [Seed 44] Done. Final avg(last 50): -182.42
INFO  | 04/05/2026 07:48:55 PM | File rl_runner.py         | Line 123   | [Seed 45] (4/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 07:48:56 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -19.93 (eps: 0.995)
INFO  | 04/05/2026 07:48:56 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -40.76 (eps: 0.990)
INFO  | 04/05/2026 07:48:56 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -137.68 (eps: 0.985)
INFO  | 04/05/2026 07:48:56 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -133.73 (eps: 0.980)
INFO  | 04/05/2026 07:48:57 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = -130.53 (eps: 0.975)
INFO  | 04/05/2026 07:49:11 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = -159.54 (eps: 0.778)
INFO  | 04/05/2026 07:49:30 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -121.20 (eps: 0.606)
INFO  | 04/05/2026 07:50:02 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -107.81 (eps: 0.471)
INFO  | 04/05/2026 07:50:59 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -81.40 (eps: 0.367)
INFO  | 04/05/2026 07:52:12 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -95.11 (eps: 0.286)
INFO  | 04/05/2026 07:53:04 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -124.43 (eps: 0.222)
INFO  | 04/05/2026 07:53:50 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -132.74 (eps: 0.173)
INFO  | 04/05/2026 07:54:22 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -138.95 (eps: 0.135)
INFO  | 04/05/2026 07:54:48 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -87.63 (eps: 0.105)
INFO  | 04/05/2026 07:55:14 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -83.93 (eps: 0.082)
INFO  | 04/05/2026 07:55:14 PM | File rl_runner.py         | Line 127   | [Seed 45] Done. Final avg(last 50): -83.93
INFO  | 04/05/2026 07:55:14 PM | File rl_runner.py         | Line 123   | [Seed 46] (5/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 07:55:14 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -325.20 (eps: 0.995)
INFO  | 04/05/2026 07:55:14 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -217.06 (eps: 0.990)
INFO  | 04/05/2026 07:55:15 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -187.86 (eps: 0.985)
INFO  | 04/05/2026 07:55:15 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -177.50 (eps: 0.980)
INFO  | 04/05/2026 07:55:15 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = -167.64 (eps: 0.975)
INFO  | 04/05/2026 07:55:30 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = -159.83 (eps: 0.778)
INFO  | 04/05/2026 07:55:48 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -132.58 (eps: 0.606)
INFO  | 04/05/2026 07:56:18 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -72.03 (eps: 0.471)
INFO  | 04/05/2026 07:57:34 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -80.74 (eps: 0.367)
INFO  | 04/05/2026 07:59:23 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -77.58 (eps: 0.286)
INFO  | 04/05/2026 08:00:44 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -158.77 (eps: 0.222)
INFO  | 04/05/2026 08:02:04 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -120.00 (eps: 0.173)
INFO  | 04/05/2026 08:02:58 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -169.95 (eps: 0.135)
INFO  | 04/05/2026 08:03:26 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -143.34 (eps: 0.105)
INFO  | 04/05/2026 08:03:59 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -83.22 (eps: 0.082)
INFO  | 04/05/2026 08:03:59 PM | File rl_runner.py         | Line 127   | [Seed 46] Done. Final avg(last 50): -83.22
INFO  | 04/05/2026 08:03:59 PM | File rl_runner.py         | Line 123   | [Seed 47] (6/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 08:03:59 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -86.26 (eps: 0.995)
INFO  | 04/05/2026 08:04:00 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -163.08 (eps: 0.990)
INFO  | 04/05/2026 08:04:00 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -144.20 (eps: 0.985)
INFO  | 04/05/2026 08:04:00 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -127.42 (eps: 0.980)
INFO  | 04/05/2026 08:04:01 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = -133.27 (eps: 0.975)
INFO  | 04/05/2026 08:04:15 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = -137.89 (eps: 0.778)
INFO  | 04/05/2026 08:04:34 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -110.12 (eps: 0.606)
INFO  | 04/05/2026 08:05:02 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -74.00 (eps: 0.471)
INFO  | 04/05/2026 08:05:46 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -70.29 (eps: 0.367)
INFO  | 04/05/2026 08:06:44 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -113.72 (eps: 0.286)
INFO  | 04/05/2026 08:08:10 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -77.57 (eps: 0.222)
INFO  | 04/05/2026 08:08:59 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -71.71 (eps: 0.173)
INFO  | 04/05/2026 08:09:28 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -129.34 (eps: 0.135)
INFO  | 04/05/2026 08:09:56 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -106.63 (eps: 0.105)
INFO  | 04/05/2026 08:10:14 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -135.90 (eps: 0.082)
INFO  | 04/05/2026 08:10:14 PM | File rl_runner.py         | Line 127   | [Seed 47] Done. Final avg(last 50): -135.90
INFO  | 04/05/2026 08:10:14 PM | File rl_runner.py         | Line 123   | [Seed 48] (7/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 08:10:14 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -80.49 (eps: 0.995)
INFO  | 04/05/2026 08:10:14 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -98.58 (eps: 0.990)
INFO  | 04/05/2026 08:10:15 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -89.82 (eps: 0.985)
INFO  | 04/05/2026 08:10:15 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -103.68 (eps: 0.980)
INFO  | 04/05/2026 08:10:15 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = -117.34 (eps: 0.975)
INFO  | 04/05/2026 08:10:29 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = -146.87 (eps: 0.778)
INFO  | 04/05/2026 08:10:48 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -133.70 (eps: 0.606)
INFO  | 04/05/2026 08:11:15 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -95.75 (eps: 0.471)
INFO  | 04/05/2026 08:12:01 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -73.00 (eps: 0.367)
INFO  | 04/05/2026 08:13:23 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -95.17 (eps: 0.286)
INFO  | 04/05/2026 08:14:36 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -140.08 (eps: 0.222)
INFO  | 04/05/2026 08:14:53 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -174.00 (eps: 0.173)
INFO  | 04/05/2026 08:15:10 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -239.18 (eps: 0.135)
INFO  | 04/05/2026 08:15:27 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -280.94 (eps: 0.105)
INFO  | 04/05/2026 08:15:43 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -312.53 (eps: 0.082)
INFO  | 04/05/2026 08:15:43 PM | File rl_runner.py         | Line 127   | [Seed 48] Done. Final avg(last 50): -312.53
INFO  | 04/05/2026 08:15:43 PM | File rl_runner.py         | Line 123   | [Seed 49] (8/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 08:15:44 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -69.75 (eps: 0.995)
INFO  | 04/05/2026 08:15:44 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -79.16 (eps: 0.990)
INFO  | 04/05/2026 08:15:44 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -72.26 (eps: 0.985)
