INFO  | 04/05/2026 06:27:30 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0136 = 0.000327
INFO  | 04/05/2026 06:27:31 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0142 = 0.000316
INFO  | 04/05/2026 06:27:33 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0151 = 0.000314
INFO  | 04/05/2026 06:27:33 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0152 = 0.000303
INFO  | 04/05/2026 06:27:34 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0158 = 0.000302
INFO  | 04/05/2026 06:27:37 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0173 = 0.000301
INFO  | 04/05/2026 06:27:38 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0174 = 0.000282
INFO  | 04/05/2026 06:27:39 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0182 = 0.000276
INFO  | 04/05/2026 06:27:40 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0185 = 0.000271
INFO  | 04/05/2026 06:27:43 PM | File experiment_runner.py | Line 126   | Pretrain epoch 0200 (no improvement, best = 0.000271)
INFO  | 04/05/2026 06:27:46 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0215 = 0.000254
INFO  | 04/05/2026 06:27:47 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0220 = 0.000250
INFO  | 04/05/2026 06:27:49 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0228 = 0.000247
INFO  | 04/05/2026 06:27:50 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0235 = 0.000244
INFO  | 04/05/2026 06:27:51 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0238 = 0.000238
INFO  | 04/05/2026 06:27:57 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0270 = 0.000222
INFO  | 04/05/2026 06:27:59 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0278 = 0.000218
INFO  | 04/05/2026 06:28:01 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0292 = 0.000210
INFO  | 04/05/2026 06:28:02 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0294 = 0.000204
INFO  | 04/05/2026 06:28:03 PM | File experiment_runner.py | Line 126   | Pretrain epoch 0300 (no improvement, best = 0.000204)
INFO  | 04/05/2026 06:28:04 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0303 = 0.000202
INFO  | 04/05/2026 06:28:04 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0306 = 0.000197
INFO  | 04/05/2026 06:28:08 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0327 = 0.000196
INFO  | 04/05/2026 06:28:10 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0336 = 0.000188
INFO  | 04/05/2026 06:28:14 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0354 = 0.000182
INFO  | 04/05/2026 06:28:15 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0358 = 0.000180
INFO  | 04/05/2026 06:28:16 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0362 = 0.000177
INFO  | 04/05/2026 06:28:18 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0369 = 0.000177
INFO  | 04/05/2026 06:28:19 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0374 = 0.000175
INFO  | 04/05/2026 06:28:24 PM | File experiment_runner.py | Line 126   | Pretrain epoch 0400 (no improvement, best = 0.000175)
INFO  | 04/05/2026 06:28:32 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0441 = 0.000173
INFO  | 04/05/2026 06:28:35 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0454 = 0.000173
INFO  | 04/05/2026 06:28:38 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0469 = 0.000172
INFO  | 04/05/2026 06:28:39 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0474 = 0.000161
INFO  | 04/05/2026 06:28:40 PM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0480 = 0.000158
INFO  | 04/05/2026 06:28:44 PM | File experiment_runner.py | Line 126   | Pretrain epoch 0500 (no improvement, best = 0.000158)
INFO  | 04/05/2026 06:28:45 PM | File run.py               | Line 266   | === Starting Phase 1 ===
