INFO  | 04/05/2026 06:27:48 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 06:28:26 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 06:29:04 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 06:29:44 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 06:30:23 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -199.38 (eps: 0.222)
INFO  | 04/05/2026 06:31:02 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -197.18 (eps: 0.173)
INFO  | 04/05/2026 06:31:38 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -175.42 (eps: 0.135)
INFO  | 04/05/2026 06:32:10 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -162.48 (eps: 0.105)
INFO  | 04/05/2026 06:32:41 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -150.26 (eps: 0.082)
INFO  | 04/05/2026 06:32:41 PM | File rl_runner.py         | Line 127   | [Seed 44] Done. Final avg(last 50): -150.26
INFO  | 04/05/2026 06:32:41 PM | File rl_runner.py         | Line 123   | [Seed 45] (4/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 06:32:41 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 06:32:42 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 06:32:43 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 06:32:44 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 06:32:44 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 06:33:17 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 06:33:54 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 06:34:32 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 06:35:11 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 06:35:50 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 06:36:30 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 06:37:10 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -199.92 (eps: 0.173)
INFO  | 04/05/2026 06:37:44 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -169.08 (eps: 0.135)
INFO  | 04/05/2026 06:38:17 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -164.74 (eps: 0.105)
INFO  | 04/05/2026 06:38:48 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -152.74 (eps: 0.082)
INFO  | 04/05/2026 06:38:48 PM | File rl_runner.py         | Line 127   | [Seed 45] Done. Final avg(last 50): -152.74
INFO  | 04/05/2026 06:38:48 PM | File rl_runner.py         | Line 123   | [Seed 46] (5/10) Training SwiGLUDQN for 500 episodes...
