INFO  | 04/05/2026 02:31:25 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 46/50: Acc = 0.7986
INFO  | 04/05/2026 02:31:39 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 47/50: Acc = 0.7955
INFO  | 04/05/2026 02:31:53 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 48/50: Acc = 0.7977
INFO  | 04/05/2026 02:32:07 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 49/50: Acc = 0.7989
INFO  | 04/05/2026 02:32:20 AM | File mixer_runner.py      | Line 212   |   Seed 42 Ep 50/50: Acc = 0.7980
INFO  | 04/05/2026 02:32:20 AM | File mixer_runner.py      | Line 144   | [Seed 42] Done. Best Acc: 0.8002
INFO  | 04/05/2026 02:32:20 AM | File mixer_runner.py      | Line 138   | [Seed 43] (2/5) Training StandardViT for 50 epochs...
INFO  | 04/05/2026 02:32:34 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 1/50: Acc = 0.4136
INFO  | 04/05/2026 02:32:48 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 2/50: Acc = 0.4919
INFO  | 04/05/2026 02:33:02 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 3/50: Acc = 0.5298
INFO  | 04/05/2026 02:33:16 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 4/50: Acc = 0.5398
INFO  | 04/05/2026 02:33:30 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 5/50: Acc = 0.5714
INFO  | 04/05/2026 02:33:44 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 6/50: Acc = 0.5994
INFO  | 04/05/2026 02:33:57 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 7/50: Acc = 0.6223
INFO  | 04/05/2026 02:34:11 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 8/50: Acc = 0.6224
INFO  | 04/05/2026 02:34:25 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 9/50: Acc = 0.6291
INFO  | 04/05/2026 02:34:39 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 10/50: Acc = 0.6601
INFO  | 04/05/2026 02:34:52 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 11/50: Acc = 0.6658
INFO  | 04/05/2026 02:35:06 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 12/50: Acc = 0.6723
INFO  | 04/05/2026 02:35:20 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 13/50: Acc = 0.6797
INFO  | 04/05/2026 02:35:34 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 14/50: Acc = 0.6794
INFO  | 04/05/2026 02:35:48 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 15/50: Acc = 0.7065
INFO  | 04/05/2026 02:36:02 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 16/50: Acc = 0.7055
INFO  | 04/05/2026 02:36:17 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 17/50: Acc = 0.7215
INFO  | 04/05/2026 02:36:31 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 18/50: Acc = 0.7131
INFO  | 04/05/2026 02:36:45 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 19/50: Acc = 0.7328
INFO  | 04/05/2026 02:37:00 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 20/50: Acc = 0.7413
INFO  | 04/05/2026 02:37:14 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 21/50: Acc = 0.7266
INFO  | 04/05/2026 02:37:28 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 22/50: Acc = 0.7442
INFO  | 04/05/2026 02:37:42 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 23/50: Acc = 0.7476
INFO  | 04/05/2026 02:37:55 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 24/50: Acc = 0.7464
INFO  | 04/05/2026 02:38:09 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 25/50: Acc = 0.7524
INFO  | 04/05/2026 02:38:23 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 26/50: Acc = 0.7642
INFO  | 04/05/2026 02:38:37 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 27/50: Acc = 0.7634
INFO  | 04/05/2026 02:38:51 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 28/50: Acc = 0.7563
INFO  | 04/05/2026 02:39:05 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 29/50: Acc = 0.7681
INFO  | 04/05/2026 02:39:18 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 30/50: Acc = 0.7680
INFO  | 04/05/2026 02:39:32 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 31/50: Acc = 0.7675
INFO  | 04/05/2026 02:39:46 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 32/50: Acc = 0.7746
INFO  | 04/05/2026 02:40:00 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 33/50: Acc = 0.7811
INFO  | 04/05/2026 02:40:14 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 34/50: Acc = 0.7786
INFO  | 04/05/2026 02:40:28 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 35/50: Acc = 0.7831
INFO  | 04/05/2026 02:40:42 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 36/50: Acc = 0.7846
INFO  | 04/05/2026 02:40:56 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 37/50: Acc = 0.7848
INFO  | 04/05/2026 02:41:10 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 38/50: Acc = 0.7898
INFO  | 04/05/2026 02:41:24 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 39/50: Acc = 0.7851
INFO  | 04/05/2026 02:41:38 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 40/50: Acc = 0.7851
INFO  | 04/05/2026 02:41:53 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 41/50: Acc = 0.7910
INFO  | 04/05/2026 02:42:07 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 42/50: Acc = 0.7910
INFO  | 04/05/2026 02:42:21 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 43/50: Acc = 0.7934
INFO  | 04/05/2026 02:42:36 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 44/50: Acc = 0.7903
INFO  | 04/05/2026 02:42:50 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 45/50: Acc = 0.7945
INFO  | 04/05/2026 02:43:05 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 46/50: Acc = 0.7953
INFO  | 04/05/2026 02:43:19 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 47/50: Acc = 0.7941
INFO  | 04/05/2026 02:43:34 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 48/50: Acc = 0.7944
INFO  | 04/05/2026 02:43:48 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 49/50: Acc = 0.7946
INFO  | 04/05/2026 02:44:02 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 50/50: Acc = 0.7942
INFO  | 04/05/2026 02:44:02 AM | File mixer_runner.py      | Line 144   | [Seed 43] Done. Best Acc: 0.7953
INFO  | 04/05/2026 02:44:02 AM | File mixer_runner.py      | Line 138   | [Seed 44] (3/5) Training StandardViT for 50 epochs...
