INFO  | 04/08/2026 08:17:29 AM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-84.4
INFO  | 04/08/2026 08:17:45 AM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-80.3
INFO  | 04/08/2026 08:18:00 AM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-85.3
INFO  | 04/08/2026 08:18:16 AM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-107.6
INFO  | 04/08/2026 08:18:31 AM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-109.4
INFO  | 04/08/2026 08:18:47 AM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-92.2
INFO  | 04/08/2026 08:19:02 AM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-92.8
INFO  | 04/08/2026 08:19:18 AM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-88.8
INFO  | 04/08/2026 08:19:33 AM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-89.8
INFO  | 04/08/2026 08:19:49 AM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-96.0
INFO  | 04/08/2026 08:20:05 AM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-91.1
INFO  | 04/08/2026 08:20:20 AM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-76.7
INFO  | 04/08/2026 08:20:36 AM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-84.6
INFO  | 04/08/2026 08:20:51 AM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-79.9
INFO  | 04/08/2026 08:21:07 AM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-81.8
INFO  | 04/08/2026 08:21:22 AM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-86.3
INFO  | 04/08/2026 08:21:22 AM | File ppo_runner.py        | Line 73    | [Seed 44] Done. Final avg(last 20): -96.92
INFO  | 04/08/2026 08:21:22 AM | File ppo_runner.py        | Line 70    | [Seed 45] (4/10)
INFO  | 04/08/2026 08:21:25 AM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/08/2026 08:21:40 AM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/08/2026 08:21:56 AM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-119.0
INFO  | 04/08/2026 08:22:11 AM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-84.0
INFO  | 04/08/2026 08:22:27 AM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-86.0
INFO  | 04/08/2026 08:22:42 AM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-82.2
INFO  | 04/08/2026 08:22:58 AM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-83.6
INFO  | 04/08/2026 08:23:13 AM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-83.1
INFO  | 04/08/2026 08:23:29 AM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-85.1
INFO  | 04/08/2026 08:23:44 AM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-76.6
INFO  | 04/08/2026 08:24:00 AM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-75.9
INFO  | 04/08/2026 08:24:15 AM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-79.2
INFO  | 04/08/2026 08:24:31 AM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-79.6
INFO  | 04/08/2026 08:24:46 AM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-82.1
INFO  | 04/08/2026 08:25:02 AM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-80.5
INFO  | 04/08/2026 08:25:17 AM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-75.7
INFO  | 04/08/2026 08:25:33 AM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-81.4
INFO  | 04/08/2026 08:25:48 AM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-80.1
INFO  | 04/08/2026 08:26:04 AM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-77.2
INFO  | 04/08/2026 08:26:19 AM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-78.7
INFO  | 04/08/2026 08:26:35 AM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-76.8
INFO  | 04/08/2026 08:26:35 AM | File ppo_runner.py        | Line 73    | [Seed 45] Done. Final avg(last 20): -103.34
INFO  | 04/08/2026 08:26:35 AM | File ppo_runner.py        | Line 70    | [Seed 46] (5/10)
INFO  | 04/08/2026 08:26:38 AM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/08/2026 08:26:53 AM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/08/2026 08:27:09 AM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-500.0
INFO  | 04/08/2026 08:27:25 AM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-78.1
INFO  | 04/08/2026 08:27:40 AM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-79.3
INFO  | 04/08/2026 08:27:56 AM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-83.1
INFO  | 04/08/2026 08:28:11 AM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-77.5
INFO  | 04/08/2026 08:28:27 AM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-84.4
INFO  | 04/08/2026 08:28:42 AM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-77.4
INFO  | 04/08/2026 08:28:58 AM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-75.0
INFO  | 04/08/2026 08:29:13 AM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-76.7
INFO  | 04/08/2026 08:29:29 AM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-73.5
INFO  | 04/08/2026 08:29:44 AM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-74.9
INFO  | 04/08/2026 08:30:00 AM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-76.1
INFO  | 04/08/2026 08:30:15 AM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-69.2
INFO  | 04/08/2026 08:30:31 AM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-72.8
INFO  | 04/08/2026 08:30:46 AM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-69.8
INFO  | 04/08/2026 08:31:02 AM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-85.4
INFO  | 04/08/2026 08:31:17 AM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-73.2
INFO  | 04/08/2026 08:31:33 AM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-66.0
INFO  | 04/08/2026 08:31:48 AM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-73.8
INFO  | 04/08/2026 08:31:48 AM | File ppo_runner.py        | Line 73    | [Seed 46] Done. Final avg(last 20): -118.31
INFO  | 04/08/2026 08:31:48 AM | File ppo_runner.py        | Line 70    | [Seed 47] (6/10)
INFO  | 04/08/2026 08:31:51 AM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-397.1
INFO  | 04/08/2026 08:32:06 AM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/08/2026 08:32:22 AM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-307.6
INFO  | 04/08/2026 08:32:37 AM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-93.3
INFO  | 04/08/2026 08:32:53 AM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-102.0
INFO  | 04/08/2026 08:33:09 AM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-101.1
INFO  | 04/08/2026 08:33:24 AM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-79.5
INFO  | 04/08/2026 08:33:40 AM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-86.3
INFO  | 04/08/2026 08:33:55 AM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-82.1
INFO  | 04/08/2026 08:34:11 AM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-83.3
INFO  | 04/08/2026 08:34:26 AM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-79.3
INFO  | 04/08/2026 08:34:42 AM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-74.1
INFO  | 04/08/2026 08:34:57 AM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-73.2
INFO  | 04/08/2026 08:35:13 AM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-73.6
INFO  | 04/08/2026 08:35:28 AM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-72.6
INFO  | 04/08/2026 08:35:44 AM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-76.1
INFO  | 04/08/2026 08:35:59 AM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-72.5
INFO  | 04/08/2026 08:36:15 AM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-70.7
INFO  | 04/08/2026 08:36:30 AM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-74.9
INFO  | 04/08/2026 08:36:46 AM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-73.0
INFO  | 04/08/2026 08:37:01 AM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-71.6
INFO  | 04/08/2026 08:37:01 AM | File ppo_runner.py        | Line 73    | [Seed 47] Done. Final avg(last 20): -112.34
INFO  | 04/08/2026 08:37:01 AM | File ppo_runner.py        | Line 70    | [Seed 48] (7/10)
INFO  | 04/08/2026 08:37:04 AM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-402.9
INFO  | 04/08/2026 08:37:18 AM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-104.4
INFO  | 04/08/2026 08:37:33 AM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-85.8
INFO  | 04/08/2026 08:37:49 AM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-83.0
INFO  | 04/08/2026 08:38:04 AM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-86.6
INFO  | 04/08/2026 08:38:20 AM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-80.8
INFO  | 04/08/2026 08:38:35 AM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-75.8
INFO  | 04/08/2026 08:38:51 AM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-81.8
INFO  | 04/08/2026 08:39:06 AM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-94.1
INFO  | 04/08/2026 08:39:22 AM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-80.3
INFO  | 04/08/2026 08:39:37 AM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-80.0
INFO  | 04/08/2026 08:39:53 AM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-80.6
INFO  | 04/08/2026 08:40:08 AM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-77.9
INFO  | 04/08/2026 08:40:24 AM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-76.4
INFO  | 04/08/2026 08:40:39 AM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-78.1
INFO  | 04/08/2026 08:40:55 AM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-87.8
INFO  | 04/08/2026 08:41:10 AM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-76.5
INFO  | 04/08/2026 08:41:26 AM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-77.5
INFO  | 04/08/2026 08:41:41 AM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-78.3
INFO  | 04/08/2026 08:41:57 AM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-80.8
INFO  | 04/08/2026 08:42:12 AM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-77.9
INFO  | 04/08/2026 08:42:12 AM | File ppo_runner.py        | Line 73    | [Seed 48] Done. Final avg(last 20): -82.22
INFO  | 04/08/2026 08:42:12 AM | File ppo_runner.py        | Line 70    | [Seed 49] (8/10)
INFO  | 04/08/2026 08:42:15 AM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/08/2026 08:42:30 AM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-500.0
INFO  | 04/08/2026 08:42:46 AM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-148.1
INFO  | 04/08/2026 08:43:01 AM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-88.9
INFO  | 04/08/2026 08:43:17 AM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-83.5
