INFO  | 04/04/2026 11:07:53 PM | File mixer_runner.py      | Line 188   |   Seed 42 Ep 45/50: Acc = 0.8098
INFO  | 04/04/2026 11:08:06 PM | File mixer_runner.py      | Line 188   |   Seed 42 Ep 46/50: Acc = 0.8092
INFO  | 04/04/2026 11:08:20 PM | File mixer_runner.py      | Line 188   |   Seed 42 Ep 47/50: Acc = 0.8092
INFO  | 04/04/2026 11:08:33 PM | File mixer_runner.py      | Line 188   |   Seed 42 Ep 48/50: Acc = 0.8089
INFO  | 04/04/2026 11:08:46 PM | File mixer_runner.py      | Line 188   |   Seed 42 Ep 49/50: Acc = 0.8100
INFO  | 04/04/2026 11:08:59 PM | File mixer_runner.py      | Line 188   |   Seed 42 Ep 50/50: Acc = 0.8098
INFO  | 04/04/2026 11:08:59 PM | File mixer_runner.py      | Line 125   | [Seed 42] Done. Best Acc: 0.8100
INFO  | 04/04/2026 11:08:59 PM | File mixer_runner.py      | Line 119   | [Seed 43] (2/5) Training StandardMLPMixer for 50 epochs...
INFO  | 04/04/2026 11:09:12 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 1/50: Acc = 0.5023
INFO  | 04/04/2026 11:09:26 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 2/50: Acc = 0.5963
INFO  | 04/04/2026 11:09:39 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 3/50: Acc = 0.6324
INFO  | 04/04/2026 11:09:52 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 4/50: Acc = 0.6681
INFO  | 04/04/2026 11:10:05 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 5/50: Acc = 0.6776
INFO  | 04/04/2026 11:10:18 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 6/50: Acc = 0.7054
INFO  | 04/04/2026 11:10:31 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 7/50: Acc = 0.7128
INFO  | 04/04/2026 11:10:43 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 8/50: Acc = 0.7132
INFO  | 04/04/2026 11:10:56 PM | File mixer_runner.py      | Line 188   |   Seed 43 Ep 9/50: Acc = 0.7374
