INFO  | 04/06/2026 12:30:29 PM | File experiment_runner.py | Line 203   | Epoch 10 | Val Loss = 0.322002 | Val Acc = 0.9122
INFO  | 04/06/2026 12:30:30 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0010 iter 00010000 = 0.096844
INFO  | 04/06/2026 12:30:33 PM | File experiment_runner.py | Line 203   | Epoch 11 | Val Loss = 0.339411 | Val Acc = 0.9114
INFO  | 04/06/2026 12:30:36 PM | File experiment_runner.py | Line 203   | Epoch 12 | Val Loss = 0.346079 | Val Acc = 0.9132
INFO  | 04/06/2026 12:30:39 PM | File experiment_runner.py | Line 203   | Epoch 13 | Val Loss = 0.362634 | Val Acc = 0.9101
INFO  | 04/06/2026 12:30:42 PM | File experiment_runner.py | Line 203   | Epoch 14 | Val Loss = 0.367960 | Val Acc = 0.9111
INFO  | 04/06/2026 12:30:44 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0014 iter 00015000 = 0.067960
INFO  | 04/06/2026 12:30:46 PM | File experiment_runner.py | Line 203   | Epoch 15 | Val Loss = 0.392444 | Val Acc = 0.9100
INFO  | 04/06/2026 12:30:49 PM | File experiment_runner.py | Line 203   | Epoch 16 | Val Loss = 0.395618 | Val Acc = 0.9106
INFO  | 04/06/2026 12:30:52 PM | File experiment_runner.py | Line 203   | Epoch 17 | Val Loss = 0.423667 | Val Acc = 0.9114
INFO  | 04/06/2026 12:30:55 PM | File experiment_runner.py | Line 203   | Epoch 18 | Val Loss = 0.430168 | Val Acc = 0.9094
INFO  | 04/06/2026 12:30:59 PM | File experiment_runner.py | Line 203   | Epoch 19 | Val Loss = 0.423487 | Val Acc = 0.9092
INFO  | 04/06/2026 12:30:59 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0019 iter 00020000 = 0.022977
INFO  | 04/06/2026 12:31:02 PM | File experiment_runner.py | Line 203   | Epoch 20 | Val Loss = 0.440145 | Val Acc = 0.9127
INFO  | 04/06/2026 12:31:05 PM | File experiment_runner.py | Line 203   | Epoch 21 | Val Loss = 0.452253 | Val Acc = 0.9113
INFO  | 04/06/2026 12:31:08 PM | File experiment_runner.py | Line 203   | Epoch 22 | Val Loss = 0.446220 | Val Acc = 0.9114
INFO  | 04/06/2026 12:31:11 PM | File experiment_runner.py | Line 203   | Epoch 23 | Val Loss = 0.481773 | Val Acc = 0.9097
INFO  | 04/06/2026 12:31:13 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0023 iter 00025000 = 0.019281
INFO  | 04/06/2026 12:31:14 PM | File experiment_runner.py | Line 203   | Epoch 24 | Val Loss = 0.480366 | Val Acc = 0.9086
INFO  | 04/06/2026 12:31:17 PM | File experiment_runner.py | Line 203   | Epoch 25 | Val Loss = 0.492154 | Val Acc = 0.9121
INFO  | 04/06/2026 12:31:21 PM | File experiment_runner.py | Line 203   | Epoch 26 | Val Loss = 0.501602 | Val Acc = 0.9101
INFO  | 04/06/2026 12:31:24 PM | File experiment_runner.py | Line 203   | Epoch 27 | Val Loss = 0.501139 | Val Acc = 0.9096
INFO  | 04/06/2026 12:31:27 PM | File experiment_runner.py | Line 203   | Epoch 28 | Val Loss = 0.525861 | Val Acc = 0.9128
INFO  | 04/06/2026 12:31:28 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0028 iter 00030000 = 0.037156
INFO  | 04/06/2026 12:31:30 PM | File experiment_runner.py | Line 203   | Epoch 29 | Val Loss = 0.522465 | Val Acc = 0.9131
INFO  | 04/06/2026 12:31:33 PM | File experiment_runner.py | Line 203   | Epoch 30 | Val Loss = 0.544684 | Val Acc = 0.9117
INFO  | 04/06/2026 12:31:37 PM | File experiment_runner.py | Line 203   | Epoch 31 | Val Loss = 0.553035 | Val Acc = 0.9117
INFO  | 04/06/2026 12:31:40 PM | File experiment_runner.py | Line 203   | Epoch 32 | Val Loss = 0.539733 | Val Acc = 0.9102
INFO  | 04/06/2026 12:31:42 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0032 iter 00035000 = 0.093960
INFO  | 04/06/2026 12:31:43 PM | File experiment_runner.py | Line 203   | Epoch 33 | Val Loss = 0.553259 | Val Acc = 0.9116
INFO  | 04/06/2026 12:31:46 PM | File experiment_runner.py | Line 203   | Epoch 34 | Val Loss = 0.587750 | Val Acc = 0.9102
INFO  | 04/06/2026 12:31:49 PM | File experiment_runner.py | Line 203   | Epoch 35 | Val Loss = 0.575882 | Val Acc = 0.9099
INFO  | 04/06/2026 12:31:52 PM | File experiment_runner.py | Line 203   | Epoch 36 | Val Loss = 0.578028 | Val Acc = 0.9093
INFO  | 04/06/2026 12:31:55 PM | File experiment_runner.py | Line 203   | Epoch 37 | Val Loss = 0.619083 | Val Acc = 0.9112
INFO  | 04/06/2026 12:31:56 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0037 iter 00040000 = 0.016300
INFO  | 04/06/2026 12:31:58 PM | File experiment_runner.py | Line 203   | Epoch 38 | Val Loss = 0.595274 | Val Acc = 0.9108
INFO  | 04/06/2026 12:32:01 PM | File experiment_runner.py | Line 203   | Epoch 39 | Val Loss = 0.575774 | Val Acc = 0.9106
INFO  | 04/06/2026 12:32:04 PM | File experiment_runner.py | Line 203   | Epoch 40 | Val Loss = 0.638259 | Val Acc = 0.9092
INFO  | 04/06/2026 12:32:07 PM | File experiment_runner.py | Line 203   | Epoch 41 | Val Loss = 0.625775 | Val Acc = 0.9081
INFO  | 04/06/2026 12:32:09 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0041 iter 00045000 = 0.022860
INFO  | 04/06/2026 12:32:10 PM | File experiment_runner.py | Line 203   | Epoch 42 | Val Loss = 0.611236 | Val Acc = 0.9092
INFO  | 04/06/2026 12:32:13 PM | File experiment_runner.py | Line 203   | Epoch 43 | Val Loss = 0.629694 | Val Acc = 0.9075
INFO  | 04/06/2026 12:32:16 PM | File experiment_runner.py | Line 203   | Epoch 44 | Val Loss = 0.638711 | Val Acc = 0.9075
INFO  | 04/06/2026 12:32:19 PM | File experiment_runner.py | Line 203   | Epoch 45 | Val Loss = 0.671300 | Val Acc = 0.9094
INFO  | 04/06/2026 12:32:22 PM | File experiment_runner.py | Line 203   | Epoch 46 | Val Loss = 0.641256 | Val Acc = 0.9078
INFO  | 04/06/2026 12:32:23 PM | File experiment_runner.py | Line 236   | Train Loss @ epoch 0046 iter 00050000 = 0.002224
INFO  | 04/06/2026 12:32:25 PM | File experiment_runner.py | Line 203   | Epoch 47 | Val Loss = 0.671502 | Val Acc = 0.9086
INFO  | 04/06/2026 12:32:28 PM | File experiment_runner.py | Line 203   | Epoch 48 | Val Loss = 0.631703 | Val Acc = 0.9072
INFO  | 04/06/2026 12:32:31 PM | File experiment_runner.py | Line 203   | Epoch 49 | Val Loss = 0.695530 | Val Acc = 0.9091
INFO  | 04/06/2026 12:32:34 PM | File experiment_runner.py | Line 203   | Epoch 50 | Val Loss = 0.716527 | Val Acc = 0.9074
