INFO  | 04/05/2026 02:22:26 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0156 = 0.000221
INFO  | 04/05/2026 02:22:26 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0157 = 0.000218
INFO  | 04/05/2026 02:22:26 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0159 = 0.000216
INFO  | 04/05/2026 02:22:29 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0171 = 0.000212
INFO  | 04/05/2026 02:22:29 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0172 = 0.000208
INFO  | 04/05/2026 02:22:32 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0184 = 0.000198
INFO  | 04/05/2026 02:22:33 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0185 = 0.000192
INFO  | 04/05/2026 02:22:36 AM | File experiment_runner.py | Line 126   | Pretrain epoch 0200 (no improvement, best = 0.000192)
INFO  | 04/05/2026 02:22:37 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0201 = 0.000183
INFO  | 04/05/2026 02:22:37 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0204 = 0.000179
INFO  | 04/05/2026 02:22:40 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0216 = 0.000174
INFO  | 04/05/2026 02:22:46 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0238 = 0.000174
INFO  | 04/05/2026 02:22:48 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0246 = 0.000169
INFO  | 04/05/2026 02:22:48 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0247 = 0.000164
INFO  | 04/05/2026 02:22:48 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0249 = 0.000163
INFO  | 04/05/2026 02:22:51 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0258 = 0.000159
INFO  | 04/05/2026 02:22:51 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0262 = 0.000153
INFO  | 04/05/2026 02:22:56 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0282 = 0.000151
INFO  | 04/05/2026 02:22:57 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0284 = 0.000147
