INFO  | 12/24/2025 06:36:46 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.6992864000797272 +- 0
INFO  | 12/24/2025 06:36:46 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.6992864000797272
INFO  | 12/24/2025 06:36:52 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.646748503446579 +- 0
INFO  | 12/24/2025 06:36:52 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.646748503446579
INFO  | 12/24/2025 06:36:57 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.6127515184879302 +- 0
INFO  | 12/24/2025 06:36:57 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.6127515184879302
INFO  | 12/24/2025 06:37:02 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.578942574262619 +- 0
INFO  | 12/24/2025 06:37:02 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.578942574262619
INFO  | 12/24/2025 06:37:07 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.559220073223114 +- 0
INFO  | 12/24/2025 06:37:07 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.559220073223114
INFO  | 12/24/2025 06:37:12 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.5304509341716765 +- 0
INFO  | 12/24/2025 06:37:12 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.5304509341716765
INFO  | 12/24/2025 06:37:17 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.5097468304634094 +- 0
INFO  | 12/24/2025 06:37:17 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.5097468304634094
INFO  | 12/24/2025 06:37:23 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.5017131280899048 +- 0
INFO  | 12/24/2025 06:37:23 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.5017131280899048
INFO  | 12/24/2025 06:37:28 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4856374967098236 +- 0
INFO  | 12/24/2025 06:37:28 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4856374967098236
INFO  | 12/24/2025 06:37:33 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4845014595985413 +- 0
INFO  | 12/24/2025 06:37:33 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4845014595985413
INFO  | 12/24/2025 06:37:38 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.459552961587906 +- 0
INFO  | 12/24/2025 06:37:38 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.459552961587906
INFO  | 12/24/2025 06:37:40 PM | File inference_runner.py  | Line 611   | Train Loss @ epoch 0013 iteration 00005000 = 1.50775945186615
INFO  | 12/24/2025 06:37:48 PM | File inference_runner.py  | Line 692   | Test Accuracy = 0.4844 +- 0
INFO  | 12/24/2025 06:37:55 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 2.378817994594574 +- 0
INFO  | 12/24/2025 06:37:55 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 2.378817994594574
INFO  | 12/24/2025 06:38:00 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.7766950118541718 +- 0
INFO  | 12/24/2025 06:38:00 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.7766950118541718
INFO  | 12/24/2025 06:38:05 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.6788015949726105 +- 0
INFO  | 12/24/2025 06:38:05 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.6788015949726105
INFO  | 12/24/2025 06:38:10 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.6317893600463866 +- 0
INFO  | 12/24/2025 06:38:10 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.6317893600463866
INFO  | 12/24/2025 06:38:15 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.5942666792869569 +- 0
INFO  | 12/24/2025 06:38:15 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.5942666792869569
INFO  | 12/24/2025 06:38:20 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.561568603515625 +- 0
INFO  | 12/24/2025 06:38:20 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.561568603515625
INFO  | 12/24/2025 06:38:26 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.533521045446396 +- 0
INFO  | 12/24/2025 06:38:26 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.533521045446396
INFO  | 12/24/2025 06:38:31 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.518316366672516 +- 0
INFO  | 12/24/2025 06:38:31 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.518316366672516
INFO  | 12/24/2025 06:38:36 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.509227477312088 +- 0
INFO  | 12/24/2025 06:38:36 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.509227477312088
INFO  | 12/24/2025 06:38:40 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4803016626834868 +- 0
INFO  | 12/24/2025 06:38:40 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4803016626834868
INFO  | 12/24/2025 06:38:46 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4754964065551759 +- 0
INFO  | 12/24/2025 06:38:46 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4754964065551759
INFO  | 12/24/2025 06:38:51 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4736727511882781 +- 0
INFO  | 12/24/2025 06:38:51 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4736727511882781
INFO  | 12/24/2025 06:38:56 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4532514107227326 +- 0
INFO  | 12/24/2025 06:38:56 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4532514107227326
INFO  | 12/24/2025 06:38:58 PM | File inference_runner.py  | Line 611   | Train Loss @ epoch 0013 iteration 00005000 = 1.4094184637069702
INFO  | 12/24/2025 06:39:01 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4447681629657745 +- 0
INFO  | 12/24/2025 06:39:01 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4447681629657745
INFO  | 12/24/2025 06:39:06 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4377936375141145 +- 0
INFO  | 12/24/2025 06:39:06 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4377936375141145
INFO  | 12/24/2025 06:39:11 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4285202264785766 +- 0
INFO  | 12/24/2025 06:39:11 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4285202264785766
INFO  | 12/24/2025 06:39:16 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4311216366291046 +- 0
INFO  | 12/24/2025 06:39:16 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4285202264785766
INFO  | 12/24/2025 06:39:21 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4223415243625641 +- 0
INFO  | 12/24/2025 06:39:21 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4223415243625641
INFO  | 12/24/2025 06:39:27 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4109688949584962 +- 0
INFO  | 12/24/2025 06:39:27 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4109688949584962
INFO  | 12/24/2025 06:39:32 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.408517565727234 +- 0
INFO  | 12/24/2025 06:39:32 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.408517565727234
INFO  | 12/24/2025 06:39:37 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4085826778411865 +- 0
INFO  | 12/24/2025 06:39:37 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.408517565727234
INFO  | 12/24/2025 06:39:42 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4063176286220551 +- 0
INFO  | 12/24/2025 06:39:42 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4063176286220551
INFO  | 12/24/2025 06:39:47 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.4194876086711883 +- 0
INFO  | 12/24/2025 06:39:47 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.4063176286220551
INFO  | 12/24/2025 06:39:52 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.402359573841095 +- 0
INFO  | 12/24/2025 06:39:52 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.402359573841095
INFO  | 12/24/2025 06:39:57 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3958958506584167 +- 0
INFO  | 12/24/2025 06:39:57 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3958958506584167
INFO  | 12/24/2025 06:40:02 PM | File inference_runner.py  | Line 611   | Train Loss @ epoch 0025 iteration 00010000 = 1.523634672164917
