host,mode,seed,init,status,host_ppl,best_ppl,final_ppl,n_epochs,operator,operator_r2_margin,mult_r2,swiglu_r2,poly3_r2,checkpoint,result_file
swiglu,joint,43,identity,completed,76.23250478919181,71.45712474874405,71.59718819123005,10,swiglu,0.3759338576537332,0.6125474137086095,0.9884812713623428,0.9965687226402881,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s43_random_identity/inner_swiglu_joint_identity_seed43.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s43_random_identity/results.json
swiglu,joint,43,random,completed,76.23250478919181,71.10767802406296,71.10767802406296,10,swiglu,0.37218980889715214,0.6168634343316968,0.9890532432288489,0.9971843743140891,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s43_random_identity/inner_swiglu_joint_random_seed43.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s43_random_identity/results.json
swiglu,joint,44,multiply,completed,78.25464053585016,72.28879698782974,72.72590004524513,10,swiglu,0.4307843727143713,0.5589241416845576,0.9897085143989289,0.9954668705105743,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_multiply_swiglu/inner_swiglu_joint_multiply_seed44.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_multiply_swiglu/results.json
swiglu,joint,44,swiglu,completed,78.25464053585016,72.51529798710375,72.51529798710375,10,swiglu,0.42918991081017255,0.5568681071554138,0.9860580179655863,0.9951612393798983,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_multiply_swiglu/inner_swiglu_joint_swiglu_seed44.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_multiply_swiglu/results.json
swiglu,joint,44,identity,completed,78.25464053585016,72.49905567364159,72.49905567364159,10,swiglu,0.38385127027499377,0.6066993652782531,0.9905506355532468,0.9966332612170862,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_random_identity/inner_swiglu_joint_identity_seed44.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_random_identity/results.json
swiglu,joint,44,random,completed,78.25464053585016,72.65662173105642,72.65662173105642,10,swiglu,0.36980658023546265,0.6186015925835144,0.9884081728189771,0.9963908443519456,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_random_identity/inner_swiglu_joint_random_seed44.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s44_random_identity/results.json
swiglu,joint,45,multiply,completed,77.62782386075156,73.09565354825432,73.09565354825432,10,swiglu,0.41674042579543624,0.5738803359389362,0.9906207617343724,0.995533141089198,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_multiply_swiglu/inner_swiglu_joint_multiply_seed45.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_multiply_swiglu/results.json
swiglu,joint,45,swiglu,completed,77.62782386075156,72.81868445059705,72.81868445059705,10,swiglu,0.3986292041080183,0.5844494186240123,0.9830786227320306,0.9956975978864087,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_multiply_swiglu/inner_swiglu_joint_swiglu_seed45.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_multiply_swiglu/results.json
swiglu,joint,45,identity,completed,77.62782386075156,72.48151535220661,72.48151535220661,10,swiglu,0.37905065491793766,0.6114678334071608,0.9905184883250985,0.9964162060542409,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_random_identity/inner_swiglu_joint_identity_seed45.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_random_identity/results.json
swiglu,joint,45,random,completed,77.62782386075156,72.29887810865397,72.29887810865397,10,swiglu,0.36555472845460724,0.6228305074065035,0.9883852358611107,0.9960498328907686,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_random_identity/inner_swiglu_joint_random_seed45.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s45_random_identity/results.json
swiglu,joint,46,multiply,completed,78.6560143503561,72.37790496482754,72.37790496482754,10,swiglu,0.43100986734531843,0.5619248225317398,0.9929346898770582,0.9954237332775028,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_multiply_swiglu/inner_swiglu_joint_multiply_seed46.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_multiply_swiglu/results.json
swiglu,joint,46,swiglu,completed,78.6560143503561,72.76502981910254,72.8600529668629,10,swiglu,0.4113310068659377,0.5735903663688762,0.9849213732348139,0.9955977326444486,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_multiply_swiglu/inner_swiglu_joint_swiglu_seed46.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_multiply_swiglu/results.json
swiglu,joint,46,identity,completed,78.6560143503561,72.80414507899894,72.80414507899894,10,swiglu,0.4041620222873126,0.5895972562193552,0.9937592785066678,0.996261610374271,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_random_identity/inner_swiglu_joint_identity_seed46.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_random_identity/results.json
swiglu,joint,46,random,completed,78.6560143503561,72.69448993260428,72.74560426468736,10,swiglu,0.36305951204813214,0.6238822424180834,0.9869417544662156,0.9964699399632834,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_random_identity/inner_swiglu_joint_random_seed46.pth,/user_data/yizhouc3/xor_causal_v2/probes/swiglu_joint_s46_random_identity/results.json
