INFO  | 12/24/2025 07:02:22 PM | File 2649547340.py        | Line 32    | Writing log file to /home/yc/repo/xor_neuron_yoon/exp/xor_neuron_mlp_cifar/XorNeuronMLP_v2_001_cifar10_2025-Dec-24-19-02-22/log_exp_786221.txt
INFO  | 12/24/2025 07:02:22 PM | File 2649547340.py        | Line 33    | Exp instance id = 786221
INFO  | 12/24/2025 07:02:22 PM | File 2649547340.py        | Line 34    | Exp comment = notebook_run
INFO  | 12/24/2025 07:02:36 PM | File 2649547340.py        | Line 32    | Writing log file to /home/yc/repo/xor_neuron_yoon/exp/xor_neuron_mlp_cifar/XorNeuronMLP_v2_001_cifar10_2025-Dec-24-19-02-36/log_exp_786221.txt
INFO  | 12/24/2025 07:02:36 PM | File 2649547340.py        | Line 33    | Exp instance id = 786221
INFO  | 12/24/2025 07:02:36 PM | File 2649547340.py        | Line 34    | Exp comment = notebook_run
INFO  | 12/24/2025 07:03:17 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 2.304816 +- 0
INFO  | 12/24/2025 07:03:18 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 2.304816
INFO  | 12/24/2025 07:03:18 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 2.298046 +- 0
INFO  | 12/24/2025 07:03:18 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 2.298046
INFO  | 12/24/2025 07:03:19 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 2.211262 +- 0
INFO  | 12/24/2025 07:03:19 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 2.211262
INFO  | 12/24/2025 07:03:20 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.996515 +- 0
INFO  | 12/24/2025 07:03:20 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.996515
INFO  | 12/24/2025 07:03:21 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.916533 +- 0
INFO  | 12/24/2025 07:03:21 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.916533
INFO  | 12/24/2025 07:03:22 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.864645 +- 0
INFO  | 12/24/2025 07:03:22 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.864645
INFO  | 12/24/2025 07:03:23 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.818512 +- 0
INFO  | 12/24/2025 07:03:23 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.818512
INFO  | 12/24/2025 07:03:24 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.805890 +- 0
INFO  | 12/24/2025 07:03:24 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.805890
INFO  | 12/24/2025 07:03:25 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.743569 +- 0
INFO  | 12/24/2025 07:03:25 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.743569
INFO  | 12/24/2025 07:03:25 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.731105 +- 0
INFO  | 12/24/2025 07:03:25 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.731105
INFO  | 12/24/2025 07:03:26 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.696523 +- 0
INFO  | 12/24/2025 07:03:26 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.696523
INFO  | 12/24/2025 07:03:27 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.674333 +- 0
INFO  | 12/24/2025 07:03:27 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.674333
INFO  | 12/24/2025 07:03:28 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.656340 +- 0
INFO  | 12/24/2025 07:03:28 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.656340
INFO  | 12/24/2025 07:03:28 PM | File inference_runner.py  | Line 441   | Train Loss @ epoch 0013 iteration 00000500 = 1.793051
INFO  | 12/24/2025 07:03:29 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.636508 +- 0
INFO  | 12/24/2025 07:03:29 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.636508
INFO  | 12/24/2025 07:03:30 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.615767 +- 0
INFO  | 12/24/2025 07:03:30 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.615767
INFO  | 12/24/2025 07:03:30 PM | File inference_runner.py  | Line 396   | Avg. Validation Loss = 1.613510 +- 0
INFO  | 12/24/2025 07:03:30 PM | File inference_runner.py  | Line 407   | Current Best Validation Loss = 1.613510
